case_id,state,M,N,K,D,logical_shape,valid_flops,local_output_bytes,T_comp_ns,T_move_ns,T_intra_ns,T_ring_ns,T_total_ns,selected_candidate,evidence
d6_m2048_n12288_k16384,I0,2048,12288,16384,6,"[2048, 12288, 16384]",824633720832,8388608,1533916.8914285714,36768.0,1570684.8914285714,62613.333333333336,1633298.2247619047,split_k_barrier,analytical_preflight_model_not_npusim
d6_m2048_n12288_k16384,I1,2048,12288,16384,6,"[2048, 12288, 16384]",824633720832,8388608,1533916.8914285714,36768.0,1552300.8914285714,62613.333333333336,1614914.2247619047,split_k_streaming_model,analytical_preflight_model_not_npusim
d6_m4096_n12288_k16384,I0,4096,12288,16384,6,"[4096, 12288, 16384]",1649267441664,16777216,3067833.782857143,69536.0,3137369.782857143,117226.66666666667,3254596.4495238094,split_k_barrier,analytical_preflight_model_not_npusim
d6_m4096_n12288_k16384,I1,4096,12288,16384,6,"[4096, 12288, 16384]",1649267441664,16777216,3067833.782857143,69536.0,3102601.782857143,117226.66666666667,3219828.4495238094,split_k_streaming_model,analytical_preflight_model_not_npusim
d6_m8192_n12288_k16384,I0,8192,12288,16384,6,"[8192, 12288, 16384]",3298534883328,33554432,6135667.565714286,135072.0,6270739.565714286,226453.33333333334,6497192.899047619,split_k_barrier,analytical_preflight_model_not_npusim
d6_m8192_n12288_k16384,I1,8192,12288,16384,6,"[8192, 12288, 16384]",3298534883328,33554432,6135667.565714286,135072.0,6203203.565714286,226453.33333333334,6429656.899047619,split_k_streaming_model,analytical_preflight_model_not_npusim
d6_m16384_n12288_k16384,I0,16384,12288,16384,6,"[16384, 12288, 16384]",6597069766656,67108864,12271335.131428571,266144.0,12537479.131428571,444906.6666666667,12982385.798095237,split_k_barrier,analytical_preflight_model_not_npusim
d6_m16384_n12288_k16384,I1,16384,12288,16384,6,"[16384, 12288, 16384]",6597069766656,67108864,12271335.131428571,266144.0,12404407.131428571,444906.6666666667,12849313.798095237,split_k_streaming_model,analytical_preflight_model_not_npusim
d6_m256_n12288_k65536,I0,256,12288,65536,6,"[256, 12288, 65536]",412316860416,1048576,766958.4457142857,8096.0,775054.4457142857,14826.666666666668,789881.1123809523,split_k_barrier,analytical_preflight_model_not_npusim
d6_m256_n12288_k65536,I1,256,12288,65536,6,"[256, 12288, 65536]",412316860416,1048576,766958.4457142857,8096.0,771006.4457142857,14826.666666666668,785833.1123809523,split_k_streaming_model,analytical_preflight_model_not_npusim
d6_m512_n12288_k65536,I0,512,12288,65536,6,"[512, 12288, 65536]",824633720832,2097152,1533916.8914285714,12192.0,1546108.8914285714,21653.333333333336,1567762.2247619047,split_k_barrier,analytical_preflight_model_not_npusim
d6_m512_n12288_k65536,I1,512,12288,65536,6,"[512, 12288, 65536]",824633720832,2097152,1533916.8914285714,12192.0,1540012.8914285714,21653.333333333336,1561666.2247619047,split_k_streaming_model,analytical_preflight_model_not_npusim
d6_m1024_n12288_k65536,I0,1024,12288,65536,6,"[1024, 12288, 65536]",1649267441664,4194304,3067833.782857143,20384.0,3088217.782857143,35306.66666666667,3123524.4495238094,split_k_barrier,analytical_preflight_model_not_npusim
d6_m1024_n12288_k65536,I1,1024,12288,65536,6,"[1024, 12288, 65536]",1649267441664,4194304,3067833.782857143,20384.0,3078025.782857143,35306.66666666667,3113332.4495238094,split_k_streaming_model,analytical_preflight_model_not_npusim
d6_m2048_n12288_k65536,I0,2048,12288,65536,6,"[2048, 12288, 65536]",3298534883328,8388608,6135667.565714286,36768.0,6172435.565714286,62613.333333333336,6235048.899047619,split_k_barrier,analytical_preflight_model_not_npusim
d6_m2048_n12288_k65536,I1,2048,12288,65536,6,"[2048, 12288, 65536]",3298534883328,8388608,6135667.565714286,36768.0,6154051.565714286,62613.333333333336,6216664.899047619,split_k_streaming_model,analytical_preflight_model_not_npusim
d6_m4096_n12288_k65536,I0,4096,12288,65536,6,"[4096, 12288, 65536]",6597069766656,16777216,12271335.131428571,69536.0,12340871.131428571,117226.66666666667,12458097.798095237,split_k_barrier,analytical_preflight_model_not_npusim
d6_m4096_n12288_k65536,I1,4096,12288,65536,6,"[4096, 12288, 65536]",6597069766656,16777216,12271335.131428571,69536.0,12306103.131428571,117226.66666666667,12423329.798095237,split_k_streaming_model,analytical_preflight_model_not_npusim
d6_m8192_n12288_k65536,I0,8192,12288,65536,6,"[8192, 12288, 65536]",13194139533312,33554432,24542670.262857143,135072.0,24677742.262857143,226453.33333333334,24904195.596190475,split_k_barrier,analytical_preflight_model_not_npusim
d6_m8192_n12288_k65536,I1,8192,12288,65536,6,"[8192, 12288, 65536]",13194139533312,33554432,24542670.262857143,135072.0,24610206.262857143,226453.33333333334,24836659.596190475,split_k_streaming_model,analytical_preflight_model_not_npusim
d6_m16384_n12288_k65536,I0,16384,12288,65536,6,"[16384, 12288, 65536]",26388279066624,67108864,49085340.525714286,266144.0,49351484.525714286,444906.6666666667,49796391.19238095,split_k_barrier,analytical_preflight_model_not_npusim
d6_m16384_n12288_k65536,I1,16384,12288,65536,6,"[16384, 12288, 65536]",26388279066624,67108864,49085340.525714286,266144.0,49218412.525714286,444906.6666666667,49663319.19238095,split_k_streaming_model,analytical_preflight_model_not_npusim
