case_id,operator_family,model_or_moe_config,stage,S,D,comparison,baseline_state,optimized_state,speedup,ideal_speedup,attainment
d36_gemm_rs_gpt_3_175b_o_proj_s36864,gemm_rs,GPT-3-175B,o_proj,36864,36,native_full,W00,W11,1.3433795759509162,1.3476009877795265,0.9968674616100082
d36_gemm_rs_gpt_3_175b_o_proj_s36864,gemm_rs,GPT-3-175B,o_proj,36864,36,native_inter_only,C00,C10,1.2003164550725194,1.2036369779405074,0.9972412588439501
d6_gemm_rs_llama_2_7b_down_proj_s2304,gemm_rs,LLaMA-2-7B,down_proj,2304,6,gpu_inter,G00,G10,1.1024261939446425,1.1061946902654867,0.9965932793259569
d6_gemm_rs_llama_2_7b_down_proj_s2304,gemm_rs,LLaMA-2-7B,down_proj,2304,6,native_full,W00,W11,1.118447343382901,1.1196733056640624,0.9989050714391781
d6_gemm_rs_llama_2_7b_down_proj_s2304,gemm_rs,LLaMA-2-7B,down_proj,2304,6,native_inter_only,C00,C10,1.089429453183275,1.09059042028667,0.9989354691900835
d9_gemm_rs_llama_2_7b_down_proj_s2304,gemm_rs,LLaMA-2-7B,down_proj,2304,9,gpu_inter,G00,G10,1.4897752864411726,1.5161290322580645,0.9826177421207735
d9_gemm_rs_llama_2_7b_down_proj_s2304,gemm_rs,LLaMA-2-7B,down_proj,2304,9,native_full,W00,W11,1.2178454807456256,1.22033551171875,0.9979595521483945
d9_gemm_rs_llama_2_7b_down_proj_s2304,gemm_rs,LLaMA-2-7B,down_proj,2304,9,native_inter_only,C00,C10,1.1473216654772813,1.149519261025385,0.9980882481724199
d36_gemm_rs_llama_2_7b_down_proj_s2304,gemm_rs,LLaMA-2-7B,down_proj,2304,36,gpu_inter,G00,G10,1.3785817358286319,1.853658536585366,0.7437085680128145
d36_gemm_rs_llama_2_7b_down_proj_s2304,gemm_rs,LLaMA-2-7B,down_proj,2304,36,native_full,W00,W11,1.6218836160080208,1.635387275390625,0.9917428369501171
d36_gemm_rs_llama_2_7b_down_proj_s2304,gemm_rs,LLaMA-2-7B,down_proj,2304,36,native_inter_only,C00,C10,1.3522028130948047,1.3612832299553155,0.9933295168406586
d6_gemm_rs_llama_2_7b_down_proj_s36864,gemm_rs,LLaMA-2-7B,down_proj,36864,6,gpu_inter,G00,G10,1.1144196890210127,1.117402470343647,0.9973306114835089
d6_gemm_rs_llama_2_7b_down_proj_s36864,gemm_rs,LLaMA-2-7B,down_proj,36864,6,native_full,W00,W11,1.149271814797183,1.1502203922271728,0.999175308109298
d6_gemm_rs_llama_2_7b_down_proj_s36864,gemm_rs,LLaMA-2-7B,down_proj,36864,6,native_inter_only,C00,C10,1.0914652748500269,1.0923172485331112,0.999220030916633
d9_gemm_rs_llama_2_7b_down_proj_s36864,gemm_rs,LLaMA-2-7B,down_proj,36864,9,gpu_inter,G00,G10,1.5900519410208427,1.6142771445710857,0.9849931570723689
d9_gemm_rs_llama_2_7b_down_proj_s36864,gemm_rs,LLaMA-2-7B,down_proj,36864,9,native_full,W00,W11,1.2534421375338503,1.255433635152181,0.9984136974169173
d9_gemm_rs_llama_2_7b_down_proj_s36864,gemm_rs,LLaMA-2-7B,down_proj,36864,9,native_inter_only,C00,C10,1.1506135182528199,1.1522740466744308,0.9985589118956525
d36_gemm_rs_llama_2_7b_down_proj_s36864,gemm_rs,LLaMA-2-7B,down_proj,36864,36,gpu_inter,G00,G10,1.1493269668899155,1.7910714285714286,0.6416980074360445
d36_gemm_rs_llama_2_7b_down_proj_s36864,gemm_rs,LLaMA-2-7B,down_proj,36864,36,native_full,W00,W11,1.6772452396967787,1.6892480651855468,0.9928945749673245
d36_gemm_rs_llama_2_7b_down_proj_s36864,gemm_rs,LLaMA-2-7B,down_proj,36864,36,native_inter_only,C00,C10,1.3596277554267489,1.3671513645848206,0.9944968718512331
d6_gemm_rs_llama_2_7b_o_proj_s2304,gemm_rs,LLaMA-2-7B,o_proj,2304,6,gpu_inter,G00,G10,1.2994287159884497,1.3125,0.9900409264673902
d6_gemm_rs_llama_2_7b_o_proj_s2304,gemm_rs,LLaMA-2-7B,o_proj,2304,6,native_full,W00,W11,1.118447343382901,1.1196733056640624,0.9989050714391781
d6_gemm_rs_llama_2_7b_o_proj_s2304,gemm_rs,LLaMA-2-7B,o_proj,2304,6,native_inter_only,C00,C10,1.089429453183275,1.09059042028667,0.9989354691900835
d9_gemm_rs_llama_2_7b_o_proj_s2304,gemm_rs,LLaMA-2-7B,o_proj,2304,9,gpu_inter,G00,G10,1.2697179854717309,1.2819383259911894,0.9904672945088759
d9_gemm_rs_llama_2_7b_o_proj_s2304,gemm_rs,LLaMA-2-7B,o_proj,2304,9,native_full,W00,W11,1.1763786514121353,1.1783529622395832,0.9983245166001063
d9_gemm_rs_llama_2_7b_o_proj_s2304,gemm_rs,LLaMA-2-7B,o_proj,2304,9,native_inter_only,C00,C10,1.1246512413262613,1.1264494372422913,0.9984036603361157
d36_gemm_rs_llama_2_7b_o_proj_s2304,gemm_rs,LLaMA-2-7B,o_proj,2304,36,gpu_inter,G00,G10,1.4046248078240267,1.8235294117647058,0.7702781204196275
d36_gemm_rs_llama_2_7b_o_proj_s2304,gemm_rs,LLaMA-2-7B,o_proj,2304,36,native_full,W00,W11,1.6218836160080208,1.635387275390625,0.9917428369501171
d36_gemm_rs_llama_2_7b_o_proj_s2304,gemm_rs,LLaMA-2-7B,o_proj,2304,36,native_inter_only,C00,C10,1.3522028130948047,1.3612832299553155,0.9933295168406586
d6_gemm_rs_llama_2_7b_o_proj_s36864,gemm_rs,LLaMA-2-7B,o_proj,36864,6,gpu_inter,G00,G10,1.3468220041845214,1.3578084234066343,0.9919087118383395
d6_gemm_rs_llama_2_7b_o_proj_s36864,gemm_rs,LLaMA-2-7B,o_proj,36864,6,native_full,W00,W11,1.149271814797183,1.1502203922271728,0.999175308109298
d6_gemm_rs_llama_2_7b_o_proj_s36864,gemm_rs,LLaMA-2-7B,o_proj,36864,6,native_inter_only,C00,C10,1.0914652748500269,1.0923172485331112,0.999220030916633
d9_gemm_rs_llama_2_7b_o_proj_s36864,gemm_rs,LLaMA-2-7B,o_proj,36864,9,gpu_inter,G00,G10,1.2912417675777357,1.300822561692127,0.9926348186166694
d9_gemm_rs_llama_2_7b_o_proj_s36864,gemm_rs,LLaMA-2-7B,o_proj,36864,9,native_full,W00,W11,1.209984116862663,1.2115525332132975,0.9987054491591258
d9_gemm_rs_llama_2_7b_o_proj_s36864,gemm_rs,LLaMA-2-7B,o_proj,36864,9,native_inter_only,C00,C10,1.1274622248033908,1.1288139091902458,0.9988025622506506
d36_gemm_rs_llama_2_7b_o_proj_s36864,gemm_rs,LLaMA-2-7B,o_proj,36864,36,gpu_inter,G00,G10,1.1994080918791579,1.8714285714285714,0.6409050872636721
d36_gemm_rs_llama_2_7b_o_proj_s36864,gemm_rs,LLaMA-2-7B,o_proj,36864,36,native_full,W00,W11,1.6772452396967787,1.6892480651855468,0.9928945749673245
d36_gemm_rs_llama_2_7b_o_proj_s36864,gemm_rs,LLaMA-2-7B,o_proj,36864,36,native_inter_only,C00,C10,1.3596277554267489,1.3671513645848206,0.9944968718512331
